ParticipantID,Trial,AOI,ImageType,Duration_ms
P1,Trial1,Pupil,AI,650
P1,Trial1,Pupil,Real,350
P1,Trial1,Skin,AI,0
P1,Trial1,Skin,Real,0
P1,Trial1,Total,AI,1783
P1,Trial1,Total,Real,1033
P1,Trial2,Hair,AI,454
P1,Trial2,Hair,Real,754
P1,Trial2,Outfit,AI,0
P1,Trial2,Outfit,Real,142
P1,Trial2,Total,AI,454
P1,Trial2,Total,Real,896
P1,Trial3,Mountain,AI,0
P1,Trial3,Mountain,Real,0
P1,Trial3,River,AI,383
P1,Trial3,River,Real,275
P1,Trial3,Total,AI,558
P1,Trial3,Total,Real,275
P1,Trial4,Topping1,AI,613
P1,Trial4,Topping1,Real,342
P1,Trial4,Topping2,AI,0
P1,Trial4,Topping2,Real,0
P1,Trial4,Total,AI,613
P1,Trial4,Total,Real,342
P1,Trial5,Cloud,AI,1117
P1,Trial5,Cloud,Real,1088
P1,Trial5,Total,AI,1900
P1,Trial5,Total,Real,1525
P1,Trial5,Water,AI,783
P1,Trial5,Water,Real,438
P1,Trial6,Leaves,AI,650
P1,Trial6,Leaves,Real,267
P1,Trial6,Seed,AI,846
P1,Trial6,Seed,Real,863
P1,Trial6,Total,AI,2596
P1,Trial6,Total,Real,1129
P2,Trial1,Pupil,AI,183
P2,Trial1,Pupil,Real,0
P2,Trial1,Skin,AI,4792
P2,Trial1,Skin,Real,775
P2,Trial1,Total,AI,9059
P2,Trial1,Total,Real,1575
P2,Trial2,Hair,AI,383
P2,Trial2,Hair,Real,633
P2,Trial2,Outfit,AI,0
P2,Trial2,Outfit,Real,0
P2,Trial2,Total,AI,667
P2,Trial2,Total,Real,1292
P2,Trial3,Mountain,AI,800
P2,Trial3,Mountain,Real,425
P2,Trial3,River,AI,1606
P2,Trial3,River,Real,900
P2,Trial3,Total,AI,2406
P2,Trial3,Total,Real,2092
P2,Trial4,Topping1,AI,2100
P2,Trial4,Topping1,Real,1625
P2,Trial4,Topping2,AI,0
P2,Trial4,Topping2,Real,1025
P2,Trial4,Total,AI,3158
P2,Trial4,Total,Real,2208
P2,Trial5,Cloud,AI,5475
P2,Trial5,Cloud,Real,2258
P2,Trial5,Total,AI,6767
P2,Trial5,Total,Real,3638
P2,Trial5,Water,AI,1292
P2,Trial5,Water,Real,1379
P2,Trial6,Leaves,AI,2792
P2,Trial6,Leaves,Real,2083
P2,Trial6,Seed,AI,933
P2,Trial6,Seed,Real,1408
P2,Trial6,Total,AI,4833
P2,Trial6,Total,Real,4779
P3,Trial1,Pupil,AI,767
P3,Trial1,Pupil,Real,525
P3,Trial1,Skin,AI,150
P3,Trial1,Skin,Real,0
P3,Trial1,Total,AI,1608
P3,Trial1,Total,Real,1517
P3,Trial2,Hair,AI,1158
P3,Trial2,Hair,Real,1600
P3,Trial2,Outfit,AI,0
P3,Trial2,Outfit,Real,0
P3,Trial2,Total,AI,1617
P3,Trial2,Total,Real,2117
P3,Trial3,Mountain,AI,375
P3,Trial3,Mountain,Real,1200
P3,Trial3,River,AI,633
P3,Trial3,River,Real,400
P3,Trial3,Total,AI,3792
P3,Trial3,Total,Real,3375
P3,Trial4,Topping1,AI,1175
P3,Trial4,Topping1,Real,1654
P3,Trial4,Topping2,AI,1875
P3,Trial4,Topping2,Real,1283
P3,Trial4,Total,AI,4142
P3,Trial4,Total,Real,3438
P3,Trial5,Cloud,AI,3879
P3,Trial5,Cloud,Real,2958
P3,Trial5,Total,AI,5413
P3,Trial5,Total,Real,3917
P3,Trial5,Water,AI,1533
P3,Trial5,Water,Real,958
P3,Trial6,Leaves,AI,1650
P3,Trial6,Leaves,Real,1050
P3,Trial6,Seed,AI,3083
P3,Trial6,Seed,Real,1558
P3,Trial6,Total,AI,5967
P3,Trial6,Total,Real,3742
P4,Trial1,Pupil,AI,692
P4,Trial1,Pupil,Real,400
P4,Trial1,Skin,AI,183
P4,Trial1,Skin,Real,0
P4,Trial1,Total,AI,1717
P4,Trial1,Total,Real,1171
P4,Trial2,Hair,AI,142
P4,Trial2,Hair,Real,208
P4,Trial2,Outfit,AI,0
P4,Trial2,Outfit,Real,0
P4,Trial2,Total,AI,279
P4,Trial2,Total,Real,208
P4,Trial3,Mountain,AI,208
P4,Trial3,Mountain,Real,483
P4,Trial3,River,AI,475
P4,Trial3,River,Real,283
P4,Trial3,Total,AI,1017
P4,Trial3,Total,Real,875
P4,Trial4,Topping1,AI,958
P4,Trial4,Topping1,Real,583
P4,Trial4,Topping2,AI,0
P4,Trial4,Topping2,Real,83
P4,Trial4,Total,AI,958
P4,Trial4,Total,Real,583
P4,Trial5,Cloud,AI,867
P4,Trial5,Cloud,Real,650
P4,Trial5,Total,AI,867
P4,Trial5,Total,Real,1117
P4,Trial5,Water,AI,0
P4,Trial5,Water,Real,467
P4,Trial6,Leaves,AI,1275
P4,Trial6,Leaves,Real,592
P4,Trial6,Seed,AI,1108
P4,Trial6,Seed,Real,2771
P4,Trial6,Total,AI,2808
P4,Trial6,Total,Real,3863
P5,Trial1,Pupil,AI,150
P5,Trial1,Pupil,Real,0
P5,Trial1,Skin,AI,0
P5,Trial1,Skin,Real,0
P5,Trial1,Total,AI,2875
P5,Trial1,Total,Real,825
P5,Trial2,Hair,AI,233
P5,Trial2,Hair,Real,517
P5,Trial2,Outfit,AI,0
P5,Trial2,Outfit,Real,0
P5,Trial2,Total,AI,233
P5,Trial2,Total,Real,517
P5,Trial3,Mountain,AI,83
P5,Trial3,Mountain,Real,0
P5,Trial3,River,AI,0
P5,Trial3,River,Real,0
P5,Trial3,Total,AI,483
P5,Trial3,Total,Real,317
P5,Trial4,Topping1,AI,663
P5,Trial4,Topping1,Real,358
P5,Trial4,Topping2,AI,100
P5,Trial4,Topping2,Real,817
P5,Trial4,Total,AI,1004
P5,Trial4,Total,Real,817
P5,Trial5,Cloud,AI,233
P5,Trial5,Cloud,Real,267
P5,Trial5,Total,AI,442
P5,Trial5,Total,Real,267
P5,Trial5,Water,AI,208
P5,Trial5,Water,Real,0
P5,Trial6,Leaves,AI,1375
P5,Trial6,Leaves,Real,504
P5,Trial6,Seed,AI,1275
P5,Trial6,Seed,Real,1725
P5,Trial6,Total,AI,3425
P5,Trial6,Total,Real,2763
P6,Trial1,Pupil,AI,425
P6,Trial1,Pupil,Real,408
P6,Trial1,Skin,AI,838
P6,Trial1,Skin,Real,0
P6,Trial1,Total,AI,4413
P6,Trial1,Total,Real,1350
P6,Trial2,Hair,AI,1575
P6,Trial2,Hair,Real,2642
P6,Trial2,Outfit,AI,679
P6,Trial2,Outfit,Real,342
P6,Trial2,Total,AI,3600
P6,Trial2,Total,Real,5058
P6,Trial3,Mountain,AI,1463
P6,Trial3,Mountain,Real,1100
P6,Trial3,River,AI,1783
P6,Trial3,River,Real,867
P6,Trial3,Total,AI,4838
P6,Trial3,Total,Real,2383
P6,Trial4,Topping1,AI,817
P6,Trial4,Topping1,Real,2171
P6,Trial4,Topping2,AI,1375
P6,Trial4,Topping2,Real,1400
P6,Trial4,Total,AI,4175
P6,Trial4,Total,Real,5746
P6,Trial5,Cloud,AI,1942
P6,Trial5,Cloud,Real,2000
P6,Trial5,Total,AI,6071
P6,Trial5,Total,Real,2833
P6,Trial5,Water,AI,4288
P6,Trial5,Water,Real,833
P6,Trial6,Leaves,AI,783
P6,Trial6,Leaves,Real,0
P6,Trial6,Seed,AI,492
P6,Trial6,Seed,Real,538
P6,Trial6,Total,AI,2054
P6,Trial6,Total,Real,538
P7,Trial1,Pupil,AI,775
P7,Trial1,Pupil,Real,275
P7,Trial1,Skin,AI,208
P7,Trial1,Skin,Real,150
P7,Trial1,Total,AI,2358
P7,Trial1,Total,Real,1617
P7,Trial2,Hair,AI,2775
P7,Trial2,Hair,Real,2254
P7,Trial2,Outfit,AI,0
P7,Trial2,Outfit,Real,292
P7,Trial2,Total,AI,2888
P7,Trial2,Total,Real,3329
P7,Trial3,Mountain,AI,275
P7,Trial3,Mountain,Real,200
P7,Trial3,River,AI,550
P7,Trial3,River,Real,0
P7,Trial3,Total,AI,1392
P7,Trial3,Total,Real,333
P7,Trial4,Topping1,AI,1767
P7,Trial4,Topping1,Real,1979
P7,Trial4,Topping2,AI,275
P7,Trial4,Topping2,Real,1175
P7,Trial4,Total,AI,2663
P7,Trial4,Total,Real,3379
P7,Trial5,Cloud,AI,1783
P7,Trial5,Cloud,Real,2175
P7,Trial5,Total,AI,3608
P7,Trial5,Total,Real,3663
P7,Trial5,Water,AI,1825
P7,Trial5,Water,Real,1488
P7,Trial6,Leaves,AI,567
P7,Trial6,Leaves,Real,1017
P7,Trial6,Seed,AI,2229
P7,Trial6,Seed,Real,1783
P7,Trial6,Total,AI,4513
P7,Trial6,Total,Real,2983
P8,Trial1,Pupil,AI,150
P8,Trial1,Pupil,Real,267
P8,Trial1,Skin,AI,983
P8,Trial1,Skin,Real,313
P8,Trial1,Total,AI,2796
P8,Trial1,Total,Real,2371
P8,Trial2,Hair,AI,1308
P8,Trial2,Hair,Real,542
P8,Trial2,Outfit,AI,442
P8,Trial2,Outfit,Real,617
P8,Trial2,Total,AI,2300
P8,Trial2,Total,Real,2267
P8,Trial3,Mountain,AI,192
P8,Trial3,Mountain,Real,658
P8,Trial3,River,AI,2367
P8,Trial3,River,Real,613
P8,Trial3,Total,AI,4100
P8,Trial3,Total,Real,3208
P8,Trial4,Topping1,AI,1383
P8,Trial4,Topping1,Real,2933
P8,Trial4,Topping2,AI,775
P8,Trial4,Topping2,Real,767
P8,Trial4,Total,AI,3917
P8,Trial4,Total,Real,4092
P8,Trial5,Cloud,AI,283
P8,Trial5,Cloud,Real,450
P8,Trial5,Total,AI,2821
P8,Trial5,Total,Real,2763
P8,Trial5,Water,AI,2538
P8,Trial5,Water,Real,2313
