ParticipantID,Trial,Response
P1,Trial1,Correct
P1,Trial2,Fooled
P1,Trial3,Correct
P1,Trial4,Correct
P1,Trial5,Fooled
P1,Trial6,Correct
P2,Trial1,Correct
P2,Trial2,Fooled
P2,Trial3,Correct
P2,Trial4,Correct
P2,Trial5,Correct
P2,Trial6,Correct
P3,Trial1,Correct
P3,Trial2,Fooled
P3,Trial3,Correct
P3,Trial4,Correct
P3,Trial5,Fooled
P3,Trial6,Correct
P4,Trial1,Correct
P4,Trial2,Fooled
P4,Trial3,Fooled
P4,Trial4,Correct
P4,Trial5,Fooled
P4,Trial6,Correct
P5,Trial1,Correct
P5,Trial2,Fooled
P5,Trial3,Correct
P5,Trial4,Correct
P5,Trial5,Fooled
P5,Trial6,Fooled
P6,Trial1,Correct
P6,Trial2,Fooled
P6,Trial3,Correct
P6,Trial4,Correct
P6,Trial5,Correct
P6,Trial6,Correct
P7,Trial1,Correct
P7,Trial2,Fooled
P7,Trial3,Correct
P7,Trial4,Correct
P7,Trial5,Correct
P7,Trial6,Correct
P8,Trial1,Correct
P8,Trial2,Fooled
P8,Trial3,Correct
P8,Trial4,Fooled
P8,Trial5,Fooled
P8,Trial6,Correct
P9,Trial1,Correct
P9,Trial2,Correct
P9,Trial3,Correct
P9,Trial4,Correct
P9,Trial5,Fooled
P9,Trial6,Correct
P10,Trial1,Correct
P10,Trial2,Fooled
P10,Trial3,Correct
P10,Trial4,Correct
P10,Trial5,Fooled
P10,Trial6,Correct
P11,Trial1,Correct
P11,Trial2,Fooled
P11,Trial3,Correct
P11,Trial4,Correct
P11,Trial5,Correct
P11,Trial6,Correct
P12,Trial1,Correct
P12,Trial2,Fooled
P12,Trial3,Correct
P12,Trial4,Fooled
P12,Trial5,Fooled
P12,Trial6,Correct
P13,Trial1,Correct
P13,Trial2,Fooled
P13,Trial3,Correct
P13,Trial4,Correct
P13,Trial5,Correct
P13,Trial6,Fooled
P14,Trial1,Correct
P14,Trial2,Fooled
P14,Trial3,Correct
P14,Trial4,Correct
P14,Trial5,Fooled
P14,Trial6,Correct
P15,Trial1,Correct
P15,Trial2,Fooled
P15,Trial3,Correct
P15,Trial4,Correct
P15,Trial5,Fooled
P15,Trial6,Correct
P16,Trial1,Correct
P16,Trial2,Fooled
P16,Trial3,Correct
P16,Trial4,Correct
P16,Trial5,Fooled
P16,Trial6,Correct
P17,Trial1,Correct
P17,Trial2,Fooled
P17,Trial3,Correct
P17,Trial4,Correct
P17,Trial5,Fooled
P17,Trial6,Correct
P18,Trial1,Correct
P18,Trial2,Fooled
P18,Trial3,Fooled
P18,Trial4,Correct
P18,Trial5,Correct
P18,Trial6,Correct
P19,Trial1,Correct
P19,Trial2,Fooled
P19,Trial3,Correct
P19,Trial4,Correct
P19,Trial5,Correct
P19,Trial6,Correct
P20,Trial1,Correct
P20,Trial2,Fooled
P20,Trial3,Correct
P20,Trial4,Correct
P20,Trial5,Fooled
P20,Trial6,Correct
P21,Trial1,Correct
P21,Trial2,Fooled
P21,Trial3,Correct
P21,Trial4,Fooled
P21,Trial5,Fooled
P21,Trial6,Correct
P22,Trial1,Correct
P22,Trial2,Fooled
P22,Trial3,Correct
P22,Trial4,Correct
P22,Trial5,Fooled
P22,Trial6,Correct
P23,Trial1,Correct
P23,Trial2,Fooled
P23,Trial3,Correct
P23,Trial4,Correct
P23,Trial5,Correct
P23,Trial6,Correct
P24,Trial1,Correct
P24,Trial2,Fooled
P24,Trial3,Fooled
P24,Trial4,Fooled
P24,Trial5,Fooled
P24,Trial6,Correct
P25,Trial1,Correct
P25,Trial2,Fooled
P25,Trial3,Correct
P25,Trial4,Fooled
P25,Trial5,Fooled
P25,Trial6,Correct
P26,Trial1,Correct
P26,Trial2,Fooled
P26,Trial3,Correct
P26,Trial4,Fooled
P26,Trial5,Fooled
P26,Trial6,Fooled
P27,Trial1,Correct
P27,Trial2,Fooled
P27,Trial3,Correct
P27,Trial4,Correct
P27,Trial5,Fooled
P27,Trial6,Correct
P28,Trial1,Correct
P28,Trial2,Fooled
P28,Trial3,Correct
P28,Trial4,Correct
P28,Trial5,Fooled
P28,Trial6,Correct
P29,Trial1,Correct
P29,Trial2,Fooled
P29,Trial3,Correct
P29,Trial4,Correct
P29,Trial5,Fooled
P29,Trial6,Correct
P30,Trial1,Correct
P30,Trial2,Fooled
P30,Trial3,Correct
P30,Trial4,Fooled
P30,Trial5,Fooled
P30,Trial6,Correct
P31,Trial1,Correct
P31,Trial2,Fooled
P31,Trial3,Correct
P31,Trial4,Fooled
P31,Trial5,Correct
P31,Trial6,Correct
P32,Trial1,Correct
P32,Trial2,Fooled
P32,Trial3,Fooled
P32,Trial4,Fooled
P32,Trial5,Fooled
P32,Trial6,Correct
P33,Trial1,Correct
P33,Trial2,Fooled
P33,Trial3,Correct
P33,Trial4,Correct
P33,Trial5,Correct
P33,Trial6,Correct
P34,Trial1,Correct
P34,Trial2,Fooled
P34,Trial3,Correct
P34,Trial4,Correct
P34,Trial5,Correct
P34,Trial6,Fooled
P35,Trial1,Correct
P35,Trial2,Fooled
P35,Trial3,Correct
P35,Trial4,Correct
P35,Trial5,Fooled
P35,Trial6,Correct
P36,Trial1,Correct
P36,Trial2,Fooled
P36,Trial3,Correct
P36,Trial4,Fooled
P36,Trial5,Fooled
P36,Trial6,Correct
P37,Trial1,Correct
P37,Trial2,Fooled
P37,Trial3,Correct
P37,Trial4,Correct
P37,Trial5,Correct
P37,Trial6,Correct
P38,Trial1,Correct
P38,Trial2,Correct
P38,Trial3,Correct
P38,Trial4,Correct
P38,Trial5,Fooled
P38,Trial6,Correct
P39,Trial1,Correct
P39,Trial2,Fooled
P39,Trial3,Correct
P39,Trial4,Correct
P39,Trial5,Correct
P39,Trial6,Correct
P40,Trial1,Correct
P40,Trial2,Fooled
P40,Trial3,Correct
P40,Trial4,Correct
P40,Trial5,Fooled
P40,Trial6,Correct
P41,Trial1,Correct
P41,Trial2,Fooled
P41,Trial3,Correct
P41,Trial4,Correct
P41,Trial5,Correct
P41,Trial6,Fooled
P42,Trial1,Correct
P42,Trial2,Correct
P42,Trial3,Correct
P42,Trial4,Correct
P42,Trial5,Fooled
P42,Trial6,Correct
P43,Trial1,Correct
P43,Trial2,Fooled
P43,Trial3,Correct
P43,Trial4,Correct
P43,Trial5,Correct
P43,Trial6,Correct
P44,Trial1,Correct
P44,Trial2,Fooled
P44,Trial3,Correct
P44,Trial4,Fooled
P44,Trial5,Fooled
P44,Trial6,Correct
P45,Trial1,Correct
P45,Trial2,Fooled
P45,Trial3,Correct
P45,Trial4,Correct
P45,Trial5,Fooled
P45,Trial6,Correct
P46,Trial1,Correct
P46,Trial2,Fooled
P46,Trial3,Correct
P46,Trial4,Correct
P46,Trial5,Fooled
P46,Trial6,Correct
P47,Trial1,Correct
P47,Trial2,Fooled
P47,Trial3,Correct
P47,Trial4,Correct
P47,Trial5,Fooled
P47,Trial6,Correct
P48,Trial1,Correct
P48,Trial2,Fooled
P48,Trial3,Fooled
P48,Trial4,Correct
P48,Trial5,Fooled
P48,Trial6,Correct
P49,Trial1,Correct
P49,Trial2,Fooled
P49,Trial3,Correct
P49,Trial4,Correct
P49,Trial5,Fooled
P49,Trial6,Correct
P50,Trial1,Correct
P50,Trial2,Fooled
P50,Trial3,Correct
P50,Trial4,Correct
P50,Trial5,Fooled
P50,Trial6,Correct
P51,Trial1,Correct
P51,Trial2,Fooled
P51,Trial3,Correct
P51,Trial4,Fooled
P51,Trial5,Correct
P51,Trial6,Correct
P52,Trial1,Correct
P52,Trial2,Fooled
P52,Trial3,Correct
P52,Trial4,Fooled
P52,Trial5,Fooled
P52,Trial6,Correct
P53,Trial1,Correct
P53,Trial2,Fooled
P53,Trial3,Correct
P53,Trial4,Correct
P53,Trial5,Correct
P53,Trial6,Correct
P54,Trial1,Correct
P54,Trial2,Fooled
P54,Trial3,Correct
P54,Trial4,Correct
P54,Trial5,Fooled
P54,Trial6,Fooled
P55,Trial1,Correct
P55,Trial2,Fooled
P55,Trial3,Correct
P55,Trial4,Correct
